Mar  2 21:29:16 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 21:31:48 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 21:33:00 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 21:40:29 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 21:40:59 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 21:41:11 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:08:50 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:10:34 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:10:46 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:12:05 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:13:11 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:13:36 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:14:31 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:15:55 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:16:45 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:18:25 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:20:05 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:22:08 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:26:15 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:27:25 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:29:01 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:38:48 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:50:34 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:51:10 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:57:22 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 22:59:26 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 23:01:21 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 23:03:34 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
Mar  2 23:04:28 myStrom2mqtt.manager: INFO Startup, myStrom2mqtt Adapter 0.50 02.03.2020
